molhiv-type,layer_type,stage_type,layers_k1,layers_k2,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated-gnn,egatconv,dilated-stage,2.0,1,499,0.1394,0.0,692703.0,22.7909,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7476,0.0
dilated-gnn,egatconv,dilated-stage,1.0,1,499,0.1423,0.0,511203.0,25.9118,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.0
dilated-gnn,egatconv,dilated-stage,3.0,3,499,0.14,0.0,1237207.0,23.8803,0.0,0.9626,0.0,1.0,0.0,0.0008,0.0,0.0016,0.0,0.7311,0.0
dilated-gnn,egatconv,dilated-stage,1.0,2,499,0.1382,0.0,692705.0,23.4971,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473,0.0
dilated-gnn,egatconv,dilated-stage,1.0,3,499,0.1372,0.0,874207.0,23.9897,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7481,0.0
dilated-gnn,egatconv,dilated-stage,2.0,3,499,0.1397,0.0,1055707.0,27.1668,0.0,0.9626,0.0,1.0,0.0,0.0008,0.0,0.0016,0.0,0.7382,0.0
dilated-gnn,egatconv,dilated-stage,2.0,2,499,0.1381,0.0,874205.0,27.6334,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7491,0.0
dilated-gnn,egatconv,dilated-stage,3.0,1,499,0.1408,0.0,874203.0,22.0565,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7384,0.0
dilated-gnn,egatconv,dilated-stage,3.0,2,499,0.1431,0.0,1055705.0,22.2564,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7242,0.0
dilated-gnn,eginconv,dilated-stage,2.0,1,499,0.137,0.0,691803.0,22.0812,0.0,0.9626,0.0,0.5,0.0,0.0008,0.0,0.0016,0.0,0.7556,0.0
dilated-gnn,eginconv,dilated-stage,1.0,2,499,0.136,0.0,691805.0,23.1233,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7589,0.0
dilated-gnn,eginconv,dilated-stage,2.0,2,499,0.137,0.0,873005.0,16.2021,0.0,0.9628,0.0,0.7692,0.0,0.0081,0.0,0.0161,0.0,0.7439,0.0
dilated-gnn,eginconv,dilated-stage,1.0,1,499,0.1385,0.0,510603.0,26.364,0.0,0.9625,0.0,0.25,0.0,0.0008,0.0,0.0016,0.0,0.7525,0.0
dilated-gnn,eginconv,dilated-stage,3.0,1,499,0.1398,0.0,873003.0,15.8972,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441,0.0
dilated-gnn,eginconv,dilated-stage,3.0,2,499,0.1396,0.0,1054205.0,15.5275,0.0,0.9628,0.0,0.9091,0.0,0.0081,0.0,0.0161,0.0,0.7455,0.0
dilated-gnn,eginconv,dilated-stage,2.0,3,499,0.1386,0.0,1054207.0,15.1932,0.0,0.9629,0.0,0.6923,0.0,0.0146,0.0,0.0286,0.0,0.7479,0.0
dilated-gnn,eginconv,dilated-stage,3.0,3,499,0.1402,0.0,1235407.0,25.9383,0.0,0.963,0.0,0.7857,0.0,0.0179,0.0,0.0349,0.0,0.7357,0.0
dilated-gnn,eginconv,dilated-stage,1.0,3,499,0.138,0.0,873007.0,24.2728,0.0,0.9626,0.0,1.0,0.0,0.0008,0.0,0.0016,0.0,0.753,0.0
gnn,egatconv,standard-stage,,,499,0.1461,0.0,1055401.0,23.0767,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193,0.0
gnn,eginconv,standard-stage,,,499,0.1486,0.0,1053901.0,13.9569,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7045,0.0
