molhiv-type,layer_type,stage_type,layers_k1,layers_k2,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated-gnn,egatconv,dilated-stage,2.0,1,72,0.1401,0.0,692703.0,22.4307,0.0,0.9626,0.0,0.5,0.0,0.0016,0.0,0.0032,0.0,0.7435,0.0
dilated-gnn,egatconv,dilated-stage,1.0,1,264,0.1472,0.0,511203.0,24.4703,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071,0.0
dilated-gnn,egatconv,dilated-stage,3.0,3,167,0.1398,0.0,1237207.0,25.1464,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326,0.0
dilated-gnn,egatconv,dilated-stage,1.0,2,161,0.1387,0.0,692705.0,31.7253,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7483,0.0
dilated-gnn,egatconv,dilated-stage,1.0,3,463,0.1383,0.0,874207.0,24.795,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415,0.0
dilated-gnn,egatconv,dilated-stage,2.0,3,56,0.139,0.0,1055707.0,25.2533,0.0,0.9626,0.0,1.0,0.0,0.0008,0.0,0.0016,0.0,0.7504,0.0
dilated-gnn,egatconv,dilated-stage,2.0,2,487,0.1397,0.0,874205.0,26.5273,0.0,0.9625,0.0,0.3333,0.0,0.0008,0.0,0.0016,0.0,0.7312,0.0
dilated-gnn,egatconv,dilated-stage,3.0,1,468,0.1418,0.0,874203.0,22.312,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405,0.0
dilated-gnn,egatconv,dilated-stage,3.0,2,389,0.1427,0.0,1055705.0,23.3087,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.0
dilated-gnn,eginconv,dilated-stage,2.0,1,298,0.1362,0.0,691803.0,22.7259,0.0,0.9626,0.0,0.6,0.0,0.0024,0.0,0.0049,0.0,0.7657,0.0
dilated-gnn,eginconv,dilated-stage,1.0,2,239,0.1365,0.0,691805.0,24.3056,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7568,0.0
dilated-gnn,eginconv,dilated-stage,2.0,2,130,0.1382,0.0,873005.0,15.6082,0.0,0.9626,0.0,0.6667,0.0,0.0016,0.0,0.0032,0.0,0.7445,0.0
dilated-gnn,eginconv,dilated-stage,1.0,1,483,0.1394,0.0,510603.0,27.2229,0.0,0.9625,0.0,0.3333,0.0,0.0008,0.0,0.0016,0.0,0.7519,0.0
dilated-gnn,eginconv,dilated-stage,3.0,1,299,0.1414,0.0,873003.0,14.7184,0.0,0.9626,0.0,0.5,0.0,0.0008,0.0,0.0016,0.0,0.7267,0.0
dilated-gnn,eginconv,dilated-stage,3.0,2,399,0.1393,0.0,1054205.0,15.5019,0.0,0.9628,0.0,0.6842,0.0,0.0106,0.0,0.0208,0.0,0.7447,0.0
dilated-gnn,eginconv,dilated-stage,2.0,3,329,0.1387,0.0,1054207.0,14.9135,0.0,0.9626,0.0,1.0,0.0,0.0024,0.0,0.0049,0.0,0.743,0.0
dilated-gnn,eginconv,dilated-stage,3.0,3,89,0.1409,0.0,1235407.0,23.1081,0.0,0.9629,0.0,0.76,0.0,0.0154,0.0,0.0302,0.0,0.7344,0.0
dilated-gnn,eginconv,dilated-stage,1.0,3,367,0.1371,0.0,873007.0,25.989,0.0,0.9626,0.0,1.0,0.0,0.0024,0.0,0.0049,0.0,0.7488,0.0
gnn,egatconv,standard-stage,,,43,0.1454,0.0,1055401.0,24.0086,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7212,0.0
gnn,eginconv,standard-stage,,,388,0.1499,0.0,1053901.0,13.5979,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6997,0.0
