molhiv-type,layer_type,stage_type,layers_k1,layers_k2,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated-gnn,egatconv,dilated-stage,2.0,1,374,0.137,0.0,692703.0,21.7296,0.0,0.9625,0.0,0.4,0.0,0.0016,0.0,0.0032,0.0,0.7616,0.0
dilated-gnn,egatconv,dilated-stage,1.0,1,327,0.1415,0.0,511203.0,28.4774,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7498,0.0
dilated-gnn,egatconv,dilated-stage,3.0,3,435,0.139,0.0,1237207.0,27.5618,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7528,0.0
dilated-gnn,egatconv,dilated-stage,1.0,2,303,0.1376,0.0,692705.0,25.5356,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7622,0.0
dilated-gnn,egatconv,dilated-stage,1.0,3,200,0.1356,0.0,874207.0,24.169,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7628,0.0
dilated-gnn,egatconv,dilated-stage,2.0,3,290,0.1371,0.0,1055707.0,27.6779,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7626,0.0
dilated-gnn,egatconv,dilated-stage,2.0,2,479,0.1382,0.0,874205.0,26.0275,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518,0.0
dilated-gnn,egatconv,dilated-stage,3.0,1,376,0.141,0.0,874203.0,22.144,0.0,0.9626,0.0,1.0,0.0,0.0016,0.0,0.0032,0.0,0.7512,0.0
dilated-gnn,egatconv,dilated-stage,3.0,2,203,0.141,0.0,1055705.0,22.8919,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7408,0.0
dilated-gnn,eginconv,dilated-stage,2.0,1,468,0.1345,0.0,691803.0,23.3251,0.0,0.9625,0.0,0.3333,0.0,0.0024,0.0,0.0048,0.0,0.7726,0.0
dilated-gnn,eginconv,dilated-stage,1.0,2,424,0.1344,0.0,691805.0,23.0454,0.0,0.9625,0.0,0.3333,0.0,0.0008,0.0,0.0016,0.0,0.7687,0.0
dilated-gnn,eginconv,dilated-stage,2.0,2,294,0.1355,0.0,873005.0,15.9439,0.0,0.9628,0.0,0.7333,0.0,0.0089,0.0,0.0176,0.0,0.7648,0.0
dilated-gnn,eginconv,dilated-stage,1.0,1,259,0.1383,0.0,510603.0,23.0487,0.0,0.9626,0.0,0.5,0.0,0.0008,0.0,0.0016,0.0,0.763,0.0
dilated-gnn,eginconv,dilated-stage,3.0,1,372,0.1396,0.0,873003.0,14.967,0.0,0.9625,0.0,0.3333,0.0,0.0016,0.0,0.0032,0.0,0.7497,0.0
dilated-gnn,eginconv,dilated-stage,3.0,2,379,0.1375,0.0,1054205.0,15.4651,0.0,0.9629,0.0,0.76,0.0,0.0154,0.0,0.0302,0.0,0.7594,0.0
dilated-gnn,eginconv,dilated-stage,2.0,3,430,0.1369,0.0,1054207.0,15.4692,0.0,0.9629,0.0,0.7895,0.0,0.0122,0.0,0.024,0.0,0.7563,0.0
dilated-gnn,eginconv,dilated-stage,3.0,3,182,0.1396,0.0,1235407.0,25.6827,0.0,0.963,0.0,0.7778,0.0,0.017,0.0,0.0334,0.0,0.7501,0.0
dilated-gnn,eginconv,dilated-stage,1.0,3,372,0.1365,0.0,873007.0,25.6216,0.0,0.9627,0.0,0.875,0.0,0.0057,0.0,0.0113,0.0,0.758,0.0
gnn,egatconv,standard-stage,,,432,0.1434,0.0,1055401.0,23.6573,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7417,0.0
gnn,eginconv,standard-stage,,,270,0.1475,0.0,1053901.0,13.5156,0.0,0.9626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205,0.0
