type,stage_type,layer_type,layers_k1,layers_k2,act_on_last_layer_mp,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,dilated_stage,egatconv,1.0,1.0,False,99,0.1397,0.0053,419403.0,14.1299,0.4358,0.9624,0.0003,0.4132,0.0824,0.0227,0.0177,0.0423,0.0315,0.748,0.026
dilated_gnn,dilated_stage,egatconv,1.0,1.0,True,99,0.1375,0.0081,419403.0,14.8243,0.3505,0.9626,0.0011,0.4044,0.1298,0.036,0.0462,0.063,0.0732,0.758,0.0334
dilated_gnn,dilated_stage,egatconv,1.0,2.0,False,99,0.1284,0.0112,600905.0,19.9982,0.2123,0.9647,0.002,0.614,0.1107,0.1118,0.0762,0.1818,0.1146,0.7887,0.0438
dilated_gnn,dilated_stage,egatconv,1.0,2.0,True,99,0.1274,0.0102,600905.0,20.028,0.1313,0.965,0.0019,0.6296,0.1003,0.1268,0.065,0.2065,0.0978,0.7896,0.0406
dilated_gnn,dilated_stage,egatconv,1.0,3.0,False,99,0.1248,0.0079,782407.0,17.828,0.3707,0.9658,0.0016,0.6929,0.0328,0.1526,0.0592,0.2455,0.0804,0.8012,0.0304
dilated_gnn,dilated_stage,egatconv,1.0,3.0,True,99,0.1311,0.0088,782407.0,15.8192,0.2488,0.9646,0.0015,0.6413,0.0645,0.1118,0.0608,0.1853,0.0887,0.7703,0.0403
dilated_gnn,dilated_stage,egatconv,2.0,1.0,False,99,0.1323,0.0048,600903.0,13.5985,0.1355,0.9631,0.0006,0.5428,0.0497,0.0602,0.0313,0.1066,0.0513,0.7831,0.0166
dilated_gnn,dilated_stage,egatconv,2.0,1.0,True,99,,,600903.0,13.8125,0.1622,0.9624,0.0004,0.4057,0.1569,0.0288,0.0163,0.0535,0.0293,0.679,0.2268
dilated_gnn,dilated_stage,egatconv,2.0,2.0,False,99,0.1355,0.0026,782405.0,15.8079,0.3155,0.964,0.0007,0.6367,0.0617,0.0852,0.0206,0.1498,0.0331,0.7532,0.014
dilated_gnn,dilated_stage,egatconv,2.0,2.0,True,99,0.1372,0.0041,782405.0,15.1402,0.2814,0.9638,0.0008,0.628,0.072,0.0756,0.033,0.133,0.0533,0.7444,0.0221
dilated_gnn,dilated_stage,egatconv,2.0,3.0,False,99,0.1367,0.0029,963907.0,17.5869,0.5573,0.964,0.001,0.6252,0.11,0.0774,0.0396,0.1356,0.0649,0.7441,0.0144
dilated_gnn,dilated_stage,egatconv,2.0,3.0,True,99,0.1387,0.0032,963907.0,17.4263,0.2735,0.9637,0.0009,0.6204,0.1035,0.0709,0.0229,0.1267,0.0384,0.7365,0.0183
dilated_gnn,dilated_stage,egatconv,3.0,1.0,False,99,0.1383,0.0052,782403.0,15.123,0.3627,0.963,0.0006,0.5527,0.1118,0.0458,0.0298,0.0827,0.051,0.7499,0.027
dilated_gnn,dilated_stage,egatconv,3.0,1.0,True,99,0.1338,0.0094,782403.0,15.7096,0.3413,0.9638,0.0012,0.618,0.0835,0.0786,0.0579,0.1332,0.09,0.7652,0.0405
dilated_gnn,dilated_stage,egatconv,3.0,2.0,False,99,0.1344,0.0098,963905.0,19.501,0.2267,0.9643,0.0015,0.6491,0.0662,0.0943,0.0708,0.156,0.103,0.7549,0.0437
dilated_gnn,dilated_stage,egatconv,3.0,2.0,True,99,0.1335,0.0058,963905.0,18.5569,0.2275,0.9642,0.001,0.6557,0.0375,0.0896,0.0445,0.1544,0.0656,0.7636,0.0233
dilated_gnn,dilated_stage,egatconv,3.0,3.0,False,99,0.1391,0.003,1145407.0,20.9975,0.3124,0.9637,0.0006,0.6377,0.0566,0.0702,0.0162,0.126,0.0267,0.7347,0.0196
dilated_gnn,dilated_stage,egatconv,3.0,3.0,True,99,0.135,0.007,1145407.0,19.9421,0.2116,0.9641,0.0013,0.6307,0.0808,0.0838,0.0534,0.1437,0.0826,0.7541,0.0288
dilated_gnn,dilated_stage,eginconv,1.0,1.0,False,99,0.086,0.0024,599403.0,9.8209,0.1697,0.973,0.0007,0.7661,0.0128,0.3996,0.0169,0.5251,0.0169,0.9326,0.0049
dilated_gnn,dilated_stage,eginconv,1.0,1.0,True,99,0.0846,0.0023,599403.0,10.6032,0.1607,0.9733,0.0005,0.7698,0.0107,0.41,0.0115,0.5349,0.0109,0.9359,0.0059
dilated_gnn,dilated_stage,eginconv,1.0,2.0,False,99,0.0704,0.002,870905.0,13.6728,0.2521,0.9766,0.0006,0.7972,0.0095,0.5031,0.0175,0.6167,0.0146,0.9615,0.003
dilated_gnn,dilated_stage,eginconv,1.0,2.0,True,99,0.0701,0.0014,870905.0,11.8288,0.2087,0.9768,0.0004,0.806,0.008,0.5024,0.0101,0.619,0.0086,0.9617,0.0018
dilated_gnn,dilated_stage,eginconv,1.0,3.0,False,99,0.0928,0.0029,1142407.0,14.8254,0.325,0.972,0.001,0.7754,0.0109,0.3567,0.0314,0.4879,0.0297,0.9128,0.0059
dilated_gnn,dilated_stage,eginconv,1.0,3.0,True,99,0.0922,0.0043,1142407.0,15.7891,0.3534,0.9721,0.0012,0.7749,0.0092,0.3601,0.0396,0.4905,0.0371,0.9146,0.0098
dilated_gnn,dilated_stage,eginconv,2.0,1.0,False,99,0.0896,0.0028,870903.0,11.9066,0.1762,0.9726,0.0004,0.769,0.01,0.3836,0.009,0.5118,0.0098,0.921,0.0086
dilated_gnn,dilated_stage,eginconv,2.0,1.0,True,99,0.0901,0.0018,870903.0,10.7606,0.1331,0.9726,0.0006,0.7675,0.0136,0.3856,0.0111,0.5133,0.012,0.9198,0.0051
dilated_gnn,dilated_stage,eginconv,2.0,2.0,False,99,0.0846,0.0018,1142405.0,14.2749,0.2946,0.9739,0.0007,0.7796,0.0102,0.4213,0.0177,0.5469,0.017,0.9309,0.0051
dilated_gnn,dilated_stage,eginconv,2.0,2.0,True,99,0.0846,0.0024,1142405.0,14.8073,0.4484,0.974,0.0005,0.7865,0.0108,0.4189,0.013,0.5466,0.0124,0.9308,0.0056
dilated_gnn,dilated_stage,eginconv,2.0,3.0,False,99,0.097,0.0024,1413907.0,17.0193,0.3891,0.9714,0.0007,0.7524,0.0111,0.3511,0.0193,0.4786,0.0195,0.8961,0.0078
dilated_gnn,dilated_stage,eginconv,2.0,3.0,True,99,0.0954,0.0022,1413907.0,16.8318,0.4025,0.9719,0.0007,0.7618,0.0165,0.3621,0.0134,0.4908,0.0145,0.9021,0.0059
dilated_gnn,dilated_stage,eginconv,3.0,1.0,False,99,0.0837,0.0025,1142403.0,13.0256,0.2361,0.9735,0.0007,0.7844,0.0142,0.4026,0.0195,0.5319,0.0183,0.9371,0.0055
dilated_gnn,dilated_stage,eginconv,3.0,1.0,True,99,0.084,0.0031,1142403.0,13.0741,0.1436,0.9735,0.0006,0.7863,0.0105,0.4023,0.0152,0.5321,0.0148,0.9363,0.0076
dilated_gnn,dilated_stage,eginconv,3.0,2.0,False,99,0.1039,0.0041,1413905.0,15.4217,0.5974,0.9701,0.0009,0.7649,0.0123,0.292,0.0336,0.4215,0.0352,0.8755,0.0129
dilated_gnn,dilated_stage,eginconv,3.0,2.0,True,99,0.1045,0.0042,1413905.0,15.4234,0.1949,0.97,0.0011,0.7589,0.0189,0.2903,0.0385,0.4186,0.0417,0.8732,0.0124
dilated_gnn,dilated_stage,eginconv,3.0,3.0,False,99,0.1075,0.0016,1685407.0,17.1736,0.2246,0.969,0.0005,0.7329,0.0151,0.2708,0.0169,0.3952,0.0179,0.8605,0.0063
dilated_gnn,dilated_stage,eginconv,3.0,3.0,True,99,0.1056,0.0019,1685407.0,15.0519,0.2177,0.9698,0.0005,0.7455,0.0086,0.2926,0.0193,0.4199,0.0201,0.8674,0.0082
standard_gnn,standard_stage,egatconv,,,False,99,0.1417,0.0055,963601.0,15.2074,0.1034,0.9622,0.0006,0.3751,0.1336,0.0306,0.0269,0.0554,0.0464,0.7366,0.0246
standard_gnn,standard_stage,egatconv,,,True,99,0.1412,0.0046,963601.0,15.8117,0.2679,0.9621,0.0005,0.3742,0.1062,0.027,0.0205,0.0496,0.036,0.7416,0.0213
standard_gnn,standard_stage,eginconv,,,False,99,0.1251,0.0087,1413601.0,12.356,0.166,0.9647,0.0019,0.5892,0.1155,0.1256,0.0784,0.1998,0.1165,0.801,0.0316
standard_gnn,standard_stage,eginconv,,,True,99,0.1237,0.0047,1413601.0,11.8574,0.117,0.9641,0.0009,0.6051,0.0431,0.1141,0.037,0.19,0.0539,0.8096,0.0172
