type,stage_type,layer_type,layers_k1,layers_k2,act_on_last_layer_mp,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,dilated_stage,egatconv,1.0,1.0,False,val_best,58.5,20.9821,0.1422,0.0048,419403.0,14.024,0.3853,0.9622,0.0002,0.3028,0.124,0.015,0.0161,0.0281,0.0289,0.7412,0.0241
dilated_gnn,dilated_stage,egatconv,1.0,1.0,True,val_best,51.4,26.462,0.1413,0.0032,419403.0,14.7306,0.5383,0.9622,0.0002,0.2884,0.1299,0.0096,0.0082,0.0184,0.0153,0.7442,0.0138
dilated_gnn,dilated_stage,egatconv,1.0,2.0,False,val_best,63.5,22.2407,0.1342,0.0066,600905.0,20.0472,0.4209,0.9634,0.0009,0.5546,0.0921,0.0695,0.0449,0.1201,0.0721,0.7655,0.0275
dilated_gnn,dilated_stage,egatconv,1.0,2.0,True,val_best,30.8,19.4772,0.1387,0.0027,600905.0,20.1017,0.2521,0.9626,0.0002,0.4799,0.0714,0.0249,0.0164,0.0466,0.0297,0.7503,0.0123
dilated_gnn,dilated_stage,egatconv,1.0,3.0,False,val_best,43.6,27.4962,0.1336,0.0049,782407.0,17.988,0.2716,0.9641,0.0011,0.6446,0.0631,0.0825,0.0435,0.1433,0.0697,0.7634,0.023
dilated_gnn,dilated_stage,egatconv,1.0,3.0,True,val_best,49.8,35.0964,0.1357,0.0069,782407.0,15.9558,0.1585,0.9642,0.0008,0.6046,0.2026,0.0854,0.0442,0.1473,0.0711,0.748,0.0342
dilated_gnn,dilated_stage,egatconv,2.0,1.0,False,val_best,47.3,24.9,0.1378,0.0038,600903.0,13.5458,0.1147,0.9624,0.0003,0.4062,0.1056,0.0219,0.0149,0.0411,0.0272,0.7628,0.0176
dilated_gnn,dilated_stage,egatconv,2.0,1.0,True,val_best,59.9,22.1289,0.1392,0.004,600903.0,13.8298,0.134,0.9623,0.0004,0.3917,0.1394,0.0214,0.0141,0.0402,0.0258,0.7542,0.0197
dilated_gnn,dilated_stage,egatconv,2.0,2.0,False,val_best,77.3,22.1317,0.1363,0.0035,782405.0,15.8523,0.206,0.9637,0.0005,0.6222,0.0343,0.0794,0.0187,0.14,0.0298,0.751,0.0178
dilated_gnn,dilated_stage,egatconv,2.0,2.0,True,val_best,58.5,19.2263,0.138,0.0029,782405.0,15.1334,0.2289,0.9635,0.0004,0.626,0.0394,0.0629,0.0197,0.1133,0.0329,0.7428,0.0166
