type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,1.0,1.0,add,False,99,0.1363,0.0062,419102.0,14.8945,0.179,0.9626,0.0005,0.4697,0.1027,0.0494,0.0308,0.0877,0.0517,0.7626,0.0295
dilated_gnn,egatconv,1.0,1.0,add,True,99,0.1396,0.0044,419103.0,15.0758,0.389,0.9623,0.0007,0.3707,0.177,0.0268,0.0253,0.0492,0.0445,0.7479,0.019
dilated_gnn,egatconv,1.0,1.0,concat,False,99,0.1336,0.0065,419402.0,14.7749,0.2749,0.9631,0.001,0.509,0.1415,0.063,0.0372,0.1106,0.0619,0.7732,0.026
dilated_gnn,egatconv,1.0,1.0,concat,True,99,0.1376,0.0054,419403.0,15.4129,0.2642,0.9624,0.0005,0.4101,0.1548,0.0346,0.0251,0.063,0.0441,0.7593,0.0225
dilated_gnn,egatconv,1.0,1.0,none,False,99,0.1287,0.0109,419102.0,15.26,0.4284,0.9641,0.0017,0.5592,0.1446,0.1053,0.0668,0.1727,0.099,0.789,0.0451
dilated_gnn,egatconv,1.0,1.0,none,True,99,0.1371,0.0101,419103.0,14.9824,0.1577,0.9629,0.0015,0.4408,0.1536,0.0452,0.059,0.0769,0.0908,0.7579,0.042
dilated_gnn,egatconv,1.0,2.0,add,False,99,0.1287,0.01,600603.0,19.4746,0.4164,0.9652,0.0019,0.6462,0.098,0.1291,0.0706,0.2092,0.1067,0.785,0.0404
dilated_gnn,egatconv,1.0,2.0,add,True,99,0.1274,0.0076,600605.0,20.1466,0.5359,0.9647,0.0015,0.6316,0.0694,0.1244,0.048,0.2054,0.0711,0.793,0.0271
dilated_gnn,egatconv,1.0,2.0,concat,False,99,0.127,0.0105,600903.0,18.7553,0.4461,0.9649,0.0022,0.616,0.1073,0.1239,0.0768,0.1998,0.113,0.7942,0.0414
dilated_gnn,egatconv,1.0,2.0,concat,True,99,0.1297,0.0092,600905.0,19.9052,0.4565,0.9644,0.0017,0.6233,0.0668,0.1042,0.0655,0.1727,0.096,0.7843,0.0344
dilated_gnn,egatconv,1.0,2.0,none,False,99,0.124,0.0153,600603.0,19.7247,0.5935,0.966,0.0032,0.6331,0.1416,0.1549,0.1145,0.2357,0.1578,0.8026,0.056
dilated_gnn,egatconv,1.0,2.0,none,True,99,0.1316,0.0105,600605.0,20.1733,0.4031,0.9642,0.0019,0.5558,0.1601,0.0999,0.0705,0.1644,0.1102,0.7714,0.0464
dilated_gnn,egatconv,1.0,3.0,add,False,99,0.1296,0.0115,782104.0,23.5032,0.7252,0.9654,0.0019,0.6831,0.046,0.1328,0.0736,0.2149,0.1022,0.7754,0.0498
dilated_gnn,egatconv,1.0,3.0,add,True,99,0.1301,0.0122,782107.0,23.5865,0.5673,0.9654,0.0022,0.6947,0.0567,0.1229,0.0855,0.1984,0.1202,0.7728,0.05
dilated_gnn,egatconv,1.0,3.0,concat,False,99,0.1352,0.0057,782404.0,16.2197,0.1345,0.9642,0.001,0.6472,0.0646,0.0914,0.0361,0.1583,0.0571,0.7533,0.0282
dilated_gnn,egatconv,1.0,3.0,concat,True,99,0.1332,0.0092,782407.0,17.0871,0.3415,0.9649,0.0017,0.6891,0.0429,0.1085,0.0637,0.1813,0.0951,0.7591,0.0401
dilated_gnn,egatconv,1.0,3.0,none,False,99,0.1266,0.0123,782104.0,17.1433,0.4065,0.966,0.0024,0.6838,0.0562,0.1617,0.0808,0.2542,0.1056,0.7857,0.0486
dilated_gnn,egatconv,1.0,3.0,none,True,99,0.1317,0.01,782107.0,16.0734,0.4426,0.9652,0.0017,0.6889,0.0405,0.1202,0.0631,0.199,0.0908,0.7613,0.044
dilated_gnn,egatconv,2.0,1.0,add,False,99,0.1251,0.0077,600602.0,13.1151,0.1353,0.9646,0.0016,0.6168,0.0625,0.1212,0.0576,0.1986,0.0828,0.8067,0.0297
dilated_gnn,egatconv,2.0,1.0,add,True,99,,,600603.0,13.1455,0.1369,0.9636,0.0018,0.4894,0.1898,0.078,0.0694,0.1294,0.1055,0.7136,0.24
dilated_gnn,egatconv,2.0,1.0,concat,False,99,0.1285,0.0075,600902.0,12.9126,0.2138,0.9641,0.0014,0.5825,0.1146,0.1002,0.0553,0.1675,0.0857,0.7953,0.0253
dilated_gnn,egatconv,2.0,1.0,concat,True,99,0.1319,0.0079,600903.0,12.7973,0.1643,0.9635,0.0014,0.5202,0.1546,0.074,0.0544,0.1263,0.086,0.7763,0.0299
dilated_gnn,egatconv,2.0,1.0,none,False,99,0.131,0.012,600602.0,12.8473,0.0999,0.9639,0.002,0.5441,0.1407,0.0971,0.0753,0.1583,0.1114,0.7785,0.0493
dilated_gnn,egatconv,2.0,1.0,none,True,99,0.1378,0.0108,600603.0,13.0121,0.0987,0.963,0.0017,0.4521,0.142,0.0551,0.0644,0.0927,0.0991,0.749,0.0455
dilated_gnn,egatconv,2.0,2.0,add,False,99,0.131,0.0119,782103.0,14.7317,0.2133,0.9649,0.0023,0.6537,0.0524,0.1226,0.0824,0.1981,0.1056,0.7672,0.0496
dilated_gnn,egatconv,2.0,2.0,add,True,99,0.1366,0.0039,782105.0,16.1962,0.4065,0.9638,0.0008,0.6298,0.0677,0.074,0.0312,0.1309,0.0511,0.7499,0.022
dilated_gnn,egatconv,2.0,2.0,concat,False,99,0.1266,0.0092,782403.0,16.114,0.2346,0.9658,0.0014,0.6944,0.0241,0.1515,0.0573,0.244,0.0801,0.7881,0.0437
dilated_gnn,egatconv,2.0,2.0,concat,True,99,0.1348,0.006,782405.0,16.2611,0.3169,0.9642,0.0006,0.6551,0.036,0.0916,0.0281,0.1593,0.0421,0.7534,0.0306
dilated_gnn,egatconv,2.0,2.0,none,False,99,0.1325,0.0114,782103.0,16.3652,0.2713,0.9648,0.0018,0.6514,0.0508,0.1188,0.0717,0.1943,0.0939,0.7583,0.0505
dilated_gnn,egatconv,2.0,2.0,none,True,99,0.1378,0.0042,782105.0,16.6841,0.359,0.9638,0.0007,0.6331,0.0457,0.0774,0.0256,0.1369,0.0403,0.7408,0.0204
dilated_gnn,egatconv,2.0,3.0,add,False,99,0.1381,0.004,963604.0,17.9217,0.2226,0.9639,0.0007,0.6378,0.032,0.0798,0.0308,0.14,0.0495,0.7379,0.0216
dilated_gnn,egatconv,2.0,3.0,add,True,99,0.1357,0.0043,963607.0,18.5549,0.1984,0.9643,0.0006,0.6748,0.0359,0.0901,0.0219,0.1581,0.0336,0.7483,0.0236
dilated_gnn,egatconv,2.0,3.0,concat,False,99,0.1314,0.0054,963904.0,18.7029,0.4125,0.9648,0.0009,0.6584,0.0347,0.1184,0.0344,0.1992,0.0499,0.7684,0.0228
dilated_gnn,egatconv,2.0,3.0,concat,True,99,0.1367,0.0032,963907.0,17.9815,0.4684,0.9641,0.0006,0.6535,0.0455,0.0831,0.0239,0.1466,0.0387,0.7465,0.0185
dilated_gnn,egatconv,2.0,3.0,none,False,99,0.1374,0.006,963604.0,18.1192,0.3777,0.9642,0.0006,0.6537,0.0274,0.0943,0.0314,0.163,0.0455,0.7364,0.0307
dilated_gnn,egatconv,2.0,3.0,none,True,99,0.1387,0.0054,963607.0,19.3375,0.2853,0.9641,0.0005,0.6706,0.035,0.0843,0.0244,0.1485,0.0373,0.7289,0.0307
dilated_gnn,egatconv,3.0,1.0,add,False,99,0.1228,0.0126,782102.0,15.7013,0.193,0.966,0.0028,0.6544,0.0852,0.1645,0.0966,0.2537,0.1287,0.8057,0.0462
dilated_gnn,egatconv,3.0,1.0,add,True,99,0.1246,0.0078,782103.0,16.0133,0.2147,0.9656,0.0017,0.6762,0.0622,0.1481,0.0561,0.2398,0.0757,0.7988,0.0316
dilated_gnn,egatconv,3.0,1.0,concat,False,99,0.131,0.0101,782402.0,15.1207,0.1721,0.9642,0.0018,0.5748,0.1528,0.101,0.0693,0.1663,0.1051,0.7762,0.0394
dilated_gnn,egatconv,3.0,1.0,concat,True,99,0.1342,0.0086,782403.0,15.7613,0.2179,0.9635,0.0013,0.5324,0.1358,0.0722,0.0549,0.123,0.0876,0.7667,0.0372
dilated_gnn,egatconv,3.0,1.0,none,False,99,0.1284,0.0093,782102.0,15.0322,0.1851,0.9651,0.0019,0.6427,0.1089,0.1271,0.0704,0.2066,0.1022,0.7853,0.0344
dilated_gnn,egatconv,3.0,1.0,none,True,99,0.1316,0.0102,782103.0,15.7763,0.2979,0.9644,0.0018,0.5916,0.1199,0.1054,0.0666,0.1738,0.102,0.7715,0.041
dilated_gnn,egatconv,3.0,2.0,add,False,99,0.1319,0.0061,963603.0,18.7191,0.3762,0.9647,0.0012,0.671,0.05,0.1089,0.0487,0.1839,0.0734,0.772,0.0222
dilated_gnn,egatconv,3.0,2.0,add,True,99,0.1324,0.0074,963605.0,19.1008,0.3975,0.9645,0.0012,0.6686,0.0728,0.1005,0.0551,0.169,0.0856,0.7692,0.0326
dilated_gnn,egatconv,3.0,2.0,concat,False,99,0.1296,0.0102,963903.0,17.6755,0.2641,0.9651,0.0019,0.6769,0.0502,0.1253,0.0745,0.2037,0.1003,0.7793,0.0411
dilated_gnn,egatconv,3.0,2.0,concat,True,99,0.1382,0.0048,963905.0,18.244,0.2574,0.9635,0.0007,0.5956,0.1398,0.0609,0.0349,0.1085,0.0589,0.74,0.0251
dilated_gnn,egatconv,3.0,2.0,none,False,99,0.1327,0.0129,963603.0,18.144,0.2492,0.9649,0.0024,0.6193,0.1174,0.1126,0.0922,0.1802,0.1306,0.7566,0.056
dilated_gnn,egatconv,3.0,2.0,none,True,99,0.1396,0.0034,963605.0,18.3132,0.1709,0.964,0.0006,0.6715,0.0502,0.0782,0.0228,0.139,0.0361,0.7238,0.0191
dilated_gnn,egatconv,3.0,3.0,add,False,99,0.1343,0.0086,1145104.0,20.3407,0.5221,0.9646,0.0013,0.6616,0.0583,0.1019,0.0561,0.1716,0.0847,0.7535,0.0412
dilated_gnn,egatconv,3.0,3.0,add,True,99,0.1361,0.0045,1145107.0,20.9824,0.2819,0.964,0.001,0.6451,0.0583,0.0818,0.0355,0.1433,0.0567,0.7479,0.022
dilated_gnn,egatconv,3.0,3.0,concat,False,99,0.1283,0.0107,1145404.0,19.7635,0.4134,0.9654,0.002,0.6731,0.0412,0.1397,0.0772,0.2237,0.103,0.78,0.0449
dilated_gnn,egatconv,3.0,3.0,concat,True,99,0.1366,0.0072,1145407.0,20.5399,0.2046,0.9642,0.0011,0.6551,0.0425,0.0891,0.0457,0.1534,0.0678,0.7412,0.0339
dilated_gnn,egatconv,3.0,3.0,none,False,99,0.1375,0.0074,1145104.0,20.1235,0.3009,0.9639,0.001,0.6038,0.088,0.0856,0.0449,0.147,0.0712,0.7368,0.0388
dilated_gnn,egatconv,3.0,3.0,none,True,99,0.1419,0.0048,1145107.0,20.6659,0.1728,0.9637,0.0006,0.6162,0.1425,0.0655,0.0332,0.1166,0.0552,0.7098,0.0273
dilated_gnn,eginconv,1.0,1.0,add,False,99,0.0821,0.0021,599102.0,9.8808,0.131,0.9739,0.0006,0.7709,0.0119,0.432,0.012,0.5536,0.0118,0.9411,0.0043
dilated_gnn,eginconv,1.0,1.0,add,True,99,0.085,0.0019,599103.0,10.1117,0.1229,0.9735,0.0005,0.7768,0.0096,0.4102,0.0129,0.5367,0.0122,0.9338,0.0054
dilated_gnn,eginconv,1.0,1.0,concat,False,99,0.085,0.0026,599402.0,9.4829,0.0854,0.9735,0.0004,0.7701,0.0094,0.4147,0.0147,0.5389,0.0125,0.9334,0.0066
dilated_gnn,eginconv,1.0,1.0,concat,True,99,0.0853,0.0028,599403.0,9.7582,0.171,0.9734,0.0007,0.771,0.0131,0.412,0.0187,0.5369,0.0179,0.9338,0.0061
dilated_gnn,eginconv,1.0,1.0,none,False,99,0.085,0.0037,599102.0,12.9226,0.278,0.9733,0.0009,0.7647,0.0127,0.4149,0.0258,0.5376,0.0243,0.9335,0.0094
dilated_gnn,eginconv,1.0,1.0,none,True,99,0.0923,0.0051,599103.0,12.3285,0.2231,0.9718,0.0013,0.7556,0.0176,0.3628,0.0365,0.4894,0.037,0.9145,0.0147
dilated_gnn,eginconv,1.0,2.0,add,False,99,0.0694,0.0022,870603.0,17.3712,0.345,0.9771,0.0007,0.8044,0.0137,0.5131,0.0145,0.6264,0.0133,0.9626,0.0038
dilated_gnn,eginconv,1.0,2.0,add,True,99,0.0706,0.0021,870605.0,17.7057,0.2568,0.9766,0.0004,0.8025,0.0042,0.4988,0.013,0.6151,0.0101,0.9602,0.0043
dilated_gnn,eginconv,1.0,2.0,concat,False,99,0.0688,0.0018,870903.0,17.4803,0.2002,0.977,0.0007,0.7957,0.0111,0.5189,0.0123,0.6282,0.012,0.9637,0.0031
dilated_gnn,eginconv,1.0,2.0,concat,True,99,0.0702,0.0022,870905.0,17.8146,0.3806,0.9766,0.0003,0.7998,0.0091,0.5007,0.0117,0.6158,0.0075,0.9615,0.0048
dilated_gnn,eginconv,1.0,2.0,none,False,99,0.068,0.0027,870603.0,17.1608,0.1324,0.977,0.0008,0.7997,0.0117,0.516,0.0191,0.6271,0.0159,0.9654,0.0036
dilated_gnn,eginconv,1.0,2.0,none,True,99,0.0846,0.0252,870605.0,17.384,0.2978,0.9741,0.0038,0.7105,0.2369,0.419,0.1403,0.527,0.176,0.9044,0.1402
dilated_gnn,eginconv,1.0,3.0,add,False,99,0.0844,0.004,1142104.0,23.2459,0.4835,0.9743,0.0011,0.7871,0.0116,0.4296,0.0308,0.5552,0.0287,0.9307,0.0093
dilated_gnn,eginconv,1.0,3.0,add,True,99,0.0891,0.0035,1142107.0,13.069,0.2203,0.973,0.0011,0.7809,0.0121,0.3874,0.0328,0.5173,0.0304,0.9207,0.0073
dilated_gnn,eginconv,1.0,3.0,concat,False,99,0.0875,0.0024,1142404.0,22.9314,0.3692,0.9736,0.0006,0.7879,0.0125,0.4023,0.0188,0.5324,0.0164,0.9242,0.006
dilated_gnn,eginconv,1.0,3.0,concat,True,99,0.092,0.0032,1142407.0,22.8791,0.4821,0.9721,0.0009,0.7722,0.0122,0.3608,0.0318,0.491,0.0295,0.9147,0.0077
dilated_gnn,eginconv,1.0,3.0,none,False,99,0.0864,0.0035,1142104.0,22.8643,0.5011,0.974,0.0009,0.7885,0.01,0.4183,0.0253,0.5463,0.024,0.9253,0.0089
dilated_gnn,eginconv,1.0,3.0,none,True,99,0.0963,0.0087,1142107.0,22.4284,0.3796,0.9718,0.0022,0.7679,0.0247,0.3501,0.0687,0.4776,0.0711,0.8973,0.0243
dilated_gnn,eginconv,2.0,1.0,add,False,99,0.0871,0.0025,870602.0,11.2045,0.272,0.9734,0.0006,0.7785,0.0118,0.4042,0.0153,0.532,0.0145,0.9267,0.0068
dilated_gnn,eginconv,2.0,1.0,add,True,99,0.0877,0.0016,870603.0,15.6148,0.4651,0.9735,0.0006,0.7846,0.0109,0.401,0.013,0.5306,0.0133,0.9254,0.0043
dilated_gnn,eginconv,2.0,1.0,concat,False,99,0.0884,0.0015,870902.0,12.5101,0.3932,0.973,0.0005,0.7716,0.0122,0.3959,0.0093,0.5233,0.0099,0.9244,0.0047
dilated_gnn,eginconv,2.0,1.0,concat,True,99,0.0897,0.002,870903.0,12.8882,0.1863,0.9727,0.0006,0.769,0.016,0.3875,0.0089,0.5153,0.0106,0.9205,0.0053
dilated_gnn,eginconv,2.0,1.0,none,False,99,0.0888,0.0014,870602.0,14.9791,0.375,0.9732,0.0003,0.78,0.0092,0.3949,0.0079,0.5243,0.0076,0.9235,0.0039
dilated_gnn,eginconv,2.0,1.0,none,True,99,0.0929,0.0034,870603.0,10.4625,0.1153,0.9719,0.0006,0.7672,0.0116,0.3585,0.0197,0.4884,0.0189,0.9131,0.0101
dilated_gnn,eginconv,2.0,2.0,add,False,99,0.0839,0.0018,1142103.0,13.0163,0.7743,0.9744,0.0005,0.7923,0.0127,0.4281,0.0104,0.5558,0.0106,0.9317,0.0042
dilated_gnn,eginconv,2.0,2.0,add,True,99,0.0847,0.0017,1142105.0,12.0426,0.4324,0.9738,0.0003,0.78,0.0102,0.4185,0.0131,0.5445,0.01,0.9312,0.0054
dilated_gnn,eginconv,2.0,2.0,concat,False,99,0.0817,0.0023,1142403.0,13.4024,0.3888,0.9747,0.0004,0.7932,0.0107,0.4391,0.0117,0.5652,0.0105,0.937,0.006
dilated_gnn,eginconv,2.0,2.0,concat,True,99,0.0832,0.002,1142405.0,15.0892,0.4303,0.9745,0.0007,0.7918,0.0129,0.4317,0.0149,0.5587,0.0146,0.9337,0.0049
dilated_gnn,eginconv,2.0,2.0,none,False,99,0.0818,0.0012,1142103.0,14.3392,0.2006,0.9745,0.0004,0.7926,0.0098,0.4335,0.0104,0.5604,0.0096,0.9374,0.0032
dilated_gnn,eginconv,2.0,2.0,none,True,99,0.086,0.0026,1142105.0,14.8786,0.1764,0.9735,0.0007,0.7846,0.0118,0.4027,0.0159,0.5321,0.0156,0.9286,0.0063
dilated_gnn,eginconv,2.0,3.0,add,True,99,0.0964,0.0021,1413607.0,14.9319,0.21,0.9716,0.0006,0.7582,0.0146,0.3557,0.0158,0.4841,0.0165,0.899,0.0066
dilated_gnn,eginconv,2.0,3.0,concat,False,99,0.0971,0.0023,1413904.0,15.5576,0.5151,0.9717,0.0008,0.7627,0.02,0.3539,0.0138,0.4834,0.0163,0.8939,0.0072
dilated_gnn,eginconv,2.0,3.0,concat,True,99,0.0967,0.0021,1413907.0,15.7333,0.4851,0.9715,0.0004,0.7584,0.0133,0.352,0.0116,0.4806,0.0113,0.8973,0.0071
dilated_gnn,eginconv,2.0,3.0,none,False,99,0.0983,0.0023,1413604.0,15.7641,0.2977,0.9713,0.0006,0.7701,0.0151,0.3348,0.0153,0.4665,0.0158,0.892,0.0079
dilated_gnn,eginconv,2.0,3.0,none,True,99,0.098,0.0024,1413607.0,16.3464,0.1932,0.971,0.0007,0.765,0.0116,0.327,0.0214,0.4578,0.0216,0.8948,0.0071
dilated_gnn,eginconv,3.0,1.0,add,False,99,0.0834,0.0028,1142102.0,12.645,0.2966,0.9739,0.0005,0.7856,0.0139,0.4178,0.0133,0.5454,0.0125,0.9366,0.0067
dilated_gnn,eginconv,3.0,1.0,add,True,99,0.0846,0.0017,1142103.0,12.3286,0.3675,0.9736,0.0006,0.7833,0.0117,0.4064,0.0115,0.5351,0.012,0.9342,0.0036
dilated_gnn,eginconv,3.0,1.0,concat,False,99,0.0824,0.0032,1142402.0,12.7051,0.1447,0.9739,0.0005,0.7802,0.0078,0.4218,0.013,0.5474,0.0122,0.94,0.0078
dilated_gnn,eginconv,3.0,1.0,concat,True,99,0.0846,0.0023,1142403.0,12.1428,0.1778,0.9736,0.0007,0.7936,0.0163,0.3994,0.0133,0.5313,0.0143,0.9347,0.0058
dilated_gnn,eginconv,3.0,1.0,none,False,99,0.0788,0.0018,1142102.0,11.9738,0.1485,0.9745,0.0004,0.7909,0.0058,0.4324,0.0157,0.5589,0.0132,0.948,0.0035
dilated_gnn,eginconv,3.0,1.0,none,True,99,0.0876,0.0034,1142103.0,12.8263,0.3683,0.9724,0.0008,0.7735,0.0144,0.3735,0.0215,0.5035,0.022,0.9294,0.0083
dilated_gnn,eginconv,3.0,2.0,add,False,99,0.0993,0.0028,1413603.0,15.0695,0.249,0.9712,0.0005,0.7734,0.0101,0.3285,0.018,0.4608,0.0178,0.8887,0.0093
dilated_gnn,eginconv,3.0,2.0,add,True,99,,,1413605.0,15.1851,0.5379,0.9677,0.0042,0.4608,0.3763,0.1954,0.1606,0.2741,0.2246,0.5312,0.4338
dilated_gnn,eginconv,3.0,2.0,concat,False,99,0.1024,0.0033,1413903.0,14.5295,0.2967,0.9703,0.0008,0.7637,0.0132,0.2986,0.0253,0.4288,0.027,0.8809,0.0109
dilated_gnn,eginconv,3.0,2.0,concat,True,99,0.1041,0.0056,1413905.0,14.665,0.5506,0.9701,0.0011,0.762,0.0163,0.2935,0.0412,0.4221,0.0447,0.8742,0.019
dilated_gnn,eginconv,3.0,2.0,none,False,99,0.1039,0.0039,1413603.0,15.5375,0.56,0.9702,0.0009,0.7825,0.0154,0.2843,0.0271,0.4165,0.0309,0.8782,0.0127
dilated_gnn,eginconv,3.0,2.0,none,True,99,0.1113,0.0043,1413605.0,21.9724,0.3829,0.9685,0.0009,0.7646,0.0228,0.2296,0.0277,0.3523,0.0346,0.8538,0.0154
dilated_gnn,eginconv,3.0,3.0,add,False,99,0.1056,0.0026,1685104.0,16.7313,0.1655,0.9699,0.0007,0.749,0.0099,0.2938,0.0277,0.4213,0.0296,0.8653,0.0064
dilated_gnn,eginconv,3.0,3.0,add,True,99,0.1044,0.0016,1685107.0,16.7292,0.2181,0.97,0.0005,0.7487,0.012,0.299,0.0163,0.4271,0.0169,0.8697,0.0051
dilated_gnn,eginconv,3.0,3.0,concat,False,99,0.1087,0.002,1685404.0,16.0886,0.4902,0.9691,0.0006,0.7401,0.0155,0.2697,0.0201,0.3949,0.0219,0.857,0.0071
dilated_gnn,eginconv,3.0,3.0,concat,True,99,0.1082,0.0012,1685407.0,25.1599,0.3102,0.969,0.0005,0.7354,0.018,0.2684,0.0129,0.393,0.0151,0.8586,0.0053
dilated_gnn,eginconv,3.0,3.0,none,False,99,0.1127,0.0028,1685104.0,25.0501,0.5224,0.9684,0.0007,0.7571,0.0227,0.2275,0.0214,0.3494,0.0258,0.8477,0.0094
dilated_gnn,eginconv,3.0,3.0,none,True,99,0.1171,0.004,1685107.0,16.0757,0.4482,0.9671,0.0009,0.7303,0.0245,0.1916,0.0263,0.3029,0.0352,0.8329,0.0163
standard_gnn,egatconv,,,,,99,0.1403,0.0047,963601.0,15.1674,0.2021,0.9622,0.0006,0.4138,0.108,0.0366,0.0244,0.0662,0.0417,0.7447,0.0265
standard_gnn,eginconv,,,,,99,0.1313,0.0155,1413601.0,12.0429,0.2824,0.9643,0.0016,0.5026,0.255,0.1053,0.0761,0.17,0.115,0.7501,0.1109
