type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,1.0,1.0,add,False,val_best,52.0,25.2349,0.1382,0.0047,419102.0,14.8503,0.1526,0.9625,0.0005,0.4325,0.1361,0.0323,0.0205,0.0595,0.0366,0.755,0.0229
dilated_gnn,egatconv,1.0,1.0,add,True,val_best,67.3,22.8388,0.1398,0.0064,419103.0,15.1066,0.1952,0.9623,0.0005,0.3201,0.1286,0.0208,0.0289,0.0374,0.0499,0.752,0.0251
dilated_gnn,egatconv,1.0,1.0,concat,False,val_best,42.4,20.8959,0.1385,0.0057,419402.0,14.7992,0.1919,0.9623,0.0005,0.3592,0.163,0.0205,0.0191,0.0384,0.0342,0.7562,0.0238
dilated_gnn,egatconv,1.0,1.0,concat,True,val_best,62.9,30.3593,0.14,0.0054,419403.0,15.4298,0.1853,0.9623,0.0003,0.3503,0.1532,0.0222,0.022,0.0408,0.0386,0.7512,0.0242
dilated_gnn,egatconv,1.0,1.0,none,False,val_best,53.5,25.22,0.135,0.0103,419102.0,15.0337,0.2611,0.963,0.0016,0.4387,0.1648,0.0559,0.0661,0.0936,0.1003,0.7648,0.0421
dilated_gnn,egatconv,1.0,1.0,none,True,val_best,51.2,17.9265,0.1417,0.0069,419103.0,14.836,0.1343,0.9623,0.0004,0.287,0.1645,0.0167,0.0247,0.0305,0.0428,0.7415,0.0308
dilated_gnn,egatconv,1.0,2.0,add,False,val_best,37.8,11.8305,0.1381,0.0052,600603.0,19.5335,0.3008,0.9631,0.0007,0.5477,0.0821,0.0515,0.0319,0.0922,0.0545,0.7457,0.03
dilated_gnn,egatconv,1.0,2.0,add,True,val_best,43.9,18.6732,0.1344,0.0063,600605.0,20.3649,0.2802,0.9632,0.001,0.5231,0.1255,0.0621,0.0443,0.1081,0.0718,0.767,0.0242
dilated_gnn,egatconv,1.0,2.0,concat,False,val_best,35.0,17.2916,0.1374,0.0086,600903.0,18.7134,0.299,0.9631,0.0005,0.5146,0.1796,0.0589,0.0392,0.1029,0.065,0.7492,0.0505
dilated_gnn,egatconv,1.0,2.0,concat,True,val_best,56.7,30.4107,0.1369,0.005,600905.0,19.7807,0.229,0.9631,0.0008,0.5372,0.1339,0.0468,0.0296,0.0847,0.0507,0.7532,0.022
dilated_gnn,egatconv,1.0,2.0,none,False,val_best,40.8,20.1931,0.1329,0.0099,600603.0,19.6261,0.5291,0.9638,0.0022,0.5376,0.1504,0.0778,0.0788,0.1284,0.1127,0.7722,0.0367
dilated_gnn,egatconv,1.0,2.0,none,True,val_best,55.9,26.685,0.1373,0.0078,600605.0,20.3031,0.4508,0.9629,0.0012,0.4345,0.1747,0.0472,0.0496,0.0818,0.0788,0.7529,0.0309
dilated_gnn,egatconv,1.0,3.0,add,False,val_best,35.8,33.8963,0.1397,0.0046,782104.0,23.177,0.5951,0.9632,0.0006,0.496,0.2553,0.0441,0.0334,0.0795,0.0573,0.7349,0.02
dilated_gnn,egatconv,1.0,3.0,add,True,val_best,43.8,32.3691,0.1384,0.0085,782107.0,23.5354,0.9659,0.9635,0.001,0.4433,0.2939,0.0545,0.0501,0.095,0.0824,0.7415,0.0414
dilated_gnn,egatconv,1.0,3.0,concat,False,val_best,35.7,33.0879,0.1404,0.0055,782404.0,16.2184,0.2175,0.9634,0.0007,0.578,0.1981,0.0532,0.0366,0.0952,0.0621,0.7298,0.0286
dilated_gnn,egatconv,1.0,3.0,concat,True,val_best,46.4,22.9835,0.1382,0.0044,782407.0,17.3429,0.1919,0.9637,0.0008,0.6014,0.2039,0.0602,0.0381,0.1071,0.0654,0.7412,0.0203
dilated_gnn,egatconv,1.0,3.0,none,False,val_best,46.3,30.9905,0.1362,0.0073,782104.0,17.164,0.2081,0.964,0.0013,0.5814,0.1992,0.0796,0.0589,0.1354,0.0914,0.7516,0.0295
dilated_gnn,egatconv,1.0,3.0,none,True,val_best,57.7,29.6008,0.1362,0.0107,782107.0,15.8755,0.1795,0.9642,0.0018,0.5871,0.2149,0.0777,0.0741,0.1296,0.1111,0.7454,0.0474
dilated_gnn,egatconv,2.0,1.0,add,False,val_best,46.8,26.7275,0.1327,0.007,600602.0,13.0947,0.1024,0.9632,0.0014,0.5327,0.0771,0.0671,0.0542,0.1148,0.0812,0.775,0.026
dilated_gnn,egatconv,2.0,1.0,add,True,val_best,56.2,24.2149,0.1361,0.0053,600603.0,13.1725,0.052,0.9625,0.0006,0.4233,0.1077,0.0345,0.032,0.062,0.0531,0.7693,0.0207
dilated_gnn,egatconv,2.0,1.0,concat,False,val_best,47.5,21.6899,0.1367,0.0064,600902.0,12.847,0.1452,0.9626,0.0009,0.4034,0.1454,0.0401,0.0446,0.0699,0.0735,0.764,0.0243
dilated_gnn,egatconv,2.0,1.0,concat,True,val_best,45.3,23.8749,0.1362,0.0055,600903.0,12.761,0.114,0.9627,0.0006,0.4469,0.1661,0.0394,0.0298,0.071,0.0522,0.7663,0.0196
dilated_gnn,egatconv,2.0,1.0,none,False,val_best,41.2,32.04,0.1396,0.0081,600602.0,12.9112,0.1445,0.9627,0.0009,0.4492,0.136,0.0363,0.0441,0.0634,0.073,0.7424,0.0355
dilated_gnn,egatconv,2.0,1.0,none,True,val_best,45.0,30.8448,0.1418,0.004,600603.0,13.0095,0.0603,0.9624,0.0003,0.3563,0.1462,0.0174,0.0149,0.0329,0.0274,0.7348,0.0185
dilated_gnn,egatconv,2.0,2.0,add,False,val_best,50.9,30.953,0.1352,0.002,782103.0,14.8182,0.1851,0.9638,0.0005,0.6422,0.0658,0.0778,0.0177,0.138,0.0289,0.7568,0.0134
dilated_gnn,egatconv,2.0,2.0,add,True,val_best,48.2,23.2198,0.1374,0.002,782105.0,16.4677,0.3613,0.9637,0.0003,0.6484,0.0362,0.0666,0.0112,0.1205,0.0181,0.7456,0.0122
