type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,1.0,1.0,add,False,96,0.1358,0.0041,419102.0,14.743,0.1972,0.9625,0.0005,0.4658,0.0773,0.0446,0.0222,0.0806,0.0376,0.7673,0.0171
dilated_gnn,egatconv,1.0,1.0,add,True,79,0.1397,0.0068,419103.0,14.8961,0.2233,0.9623,0.0005,0.3348,0.1343,0.0237,0.0292,0.0428,0.0493,0.7507,0.0285
dilated_gnn,egatconv,1.0,1.0,concat,False,84,0.1328,0.0067,419402.0,14.7677,0.0704,0.963,0.0007,0.5197,0.0845,0.0623,0.0356,0.1093,0.059,0.779,0.0277
dilated_gnn,egatconv,1.0,1.0,concat,True,93,0.1372,0.0046,419403.0,15.3359,0.1461,0.9624,0.0006,0.4304,0.1088,0.0316,0.0221,0.058,0.0389,0.7617,0.019
dilated_gnn,egatconv,1.0,1.0,none,False,99,0.1287,0.0109,419102.0,15.26,0.4284,0.9641,0.0017,0.5592,0.1446,0.1053,0.0668,0.1727,0.099,0.789,0.0451
dilated_gnn,egatconv,1.0,1.0,none,True,98,0.1374,0.01,419103.0,15.2213,0.3715,0.9629,0.0014,0.4589,0.1595,0.0439,0.0596,0.0744,0.0914,0.7579,0.0415
dilated_gnn,egatconv,1.0,2.0,add,False,99,0.1287,0.01,600603.0,19.4746,0.4164,0.9652,0.0019,0.6462,0.098,0.1291,0.0706,0.2092,0.1067,0.785,0.0404
dilated_gnn,egatconv,1.0,2.0,add,True,99,0.1274,0.0076,600605.0,20.1466,0.5359,0.9647,0.0015,0.6316,0.0694,0.1244,0.048,0.2054,0.0711,0.793,0.0271
dilated_gnn,egatconv,1.0,2.0,concat,False,99,0.127,0.0105,600903.0,18.7553,0.4461,0.9649,0.0022,0.616,0.1073,0.1239,0.0768,0.1998,0.113,0.7942,0.0414
dilated_gnn,egatconv,1.0,2.0,concat,True,99,0.1297,0.0092,600905.0,19.9052,0.4565,0.9644,0.0017,0.6233,0.0668,0.1042,0.0655,0.1727,0.096,0.7843,0.0344
dilated_gnn,egatconv,1.0,2.0,none,False,89,0.1246,0.0144,600603.0,19.5966,0.7489,0.9656,0.0028,0.6039,0.1575,0.1477,0.1052,0.2268,0.1467,0.8049,0.0509
dilated_gnn,egatconv,1.0,2.0,none,True,85,0.1317,0.0107,600605.0,20.2167,0.4314,0.9642,0.0019,0.5612,0.1323,0.1007,0.0708,0.1652,0.1089,0.7752,0.0426
dilated_gnn,egatconv,1.0,3.0,add,False,97,0.1291,0.0114,782104.0,23.1785,0.6327,0.9655,0.0018,0.689,0.036,0.1376,0.0748,0.2214,0.1022,0.7772,0.049
dilated_gnn,egatconv,1.0,3.0,add,True,98,0.1292,0.0125,782107.0,23.3609,0.7616,0.9654,0.0023,0.7042,0.0482,0.1241,0.0879,0.1998,0.1237,0.7778,0.0505
dilated_gnn,egatconv,1.0,3.0,concat,False,95,0.1347,0.0057,782404.0,16.2896,0.1432,0.9646,0.0011,0.6783,0.0622,0.0994,0.0342,0.1718,0.0526,0.7544,0.0288
dilated_gnn,egatconv,1.0,3.0,concat,True,91,0.1331,0.009,782407.0,17.1013,0.2447,0.9647,0.0016,0.6647,0.0464,0.1065,0.0621,0.178,0.0901,0.7614,0.0397
dilated_gnn,egatconv,1.0,3.0,none,False,98,0.126,0.0113,782104.0,16.9678,0.3508,0.9661,0.0023,0.694,0.0525,0.1618,0.0774,0.2556,0.1008,0.7901,0.045
dilated_gnn,egatconv,1.0,3.0,none,True,98,0.132,0.0104,782107.0,15.9712,0.3437,0.9651,0.0017,0.6883,0.0503,0.1154,0.0677,0.1908,0.0993,0.7618,0.0464
dilated_gnn,egatconv,2.0,1.0,add,False,99,0.1251,0.0077,600602.0,13.1151,0.1353,0.9646,0.0016,0.6168,0.0625,0.1212,0.0576,0.1986,0.0828,0.8067,0.0297
dilated_gnn,egatconv,2.0,1.0,add,True,79,0.1312,0.008,600603.0,13.2354,0.0553,0.9633,0.0014,0.5246,0.0946,0.0701,0.0537,0.1199,0.0829,0.7859,0.0292
dilated_gnn,egatconv,2.0,1.0,concat,False,99,0.1285,0.0075,600902.0,12.9126,0.2138,0.9641,0.0014,0.5825,0.1146,0.1002,0.0553,0.1675,0.0857,0.7953,0.0253
