type,dataset,layer,h,layers_mp,batch_size,lr,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id,edges,k1,k2
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,max_of_concat_layers,925,0.1496,0.0,2931.0,0.8728,0.0,0.9592,0.0,0.9685,0.0,0.9535,0.0,0.9609,0.0,0.9911,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,mean,947,0.3413,0.0,2899.0,0.883,0.0,0.8653,0.0,0.881,0.0,0.8605,0.0,0.8706,0.0,0.9348,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,max_of_concat_layers,991,0.3942,0.0739,2931.0,0.9454,0.0642,0.8244,0.0327,0.8212,0.0292,0.8347,0.0363,0.8279,0.0327,0.8984,0.0422,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,mean,738,0.4456,0.0103,2899.0,0.6589,0.0194,0.8082,0.0122,0.8159,0.0276,0.815,0.063,0.813,0.0178,0.8779,0.006,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.0,max_of_concat_layers,825,0.1088,0.0,2931.0,0.7382,0.0,0.9714,0.0,0.9675,0.0,0.9754,0.0,0.9714,0.0,0.9953,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.0,mean,882,0.2196,0.0301,2899.0,0.8509,0.0462,0.9143,0.0173,0.9027,0.0363,0.9372,0.0099,0.9191,0.0157,0.9734,0.0082,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.5,max_of_concat_layers,867,0.3653,0.0,2931.0,0.7783,0.0,0.8531,0.0,0.8444,0.0,0.8837,0.0,0.8636,0.0,0.9145,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.5,mean,941,0.3951,0.0074,2899.0,0.8276,0.0435,0.8313,0.0096,0.8222,0.024,0.8564,0.0261,0.8383,0.0116,0.9013,0.0053,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.0,max_of_concat_layers,956,0.1415,0.0158,9907.0,0.7557,0.0512,0.9524,0.0019,0.9528,0.0155,0.9544,0.0143,0.9534,0.0013,0.9907,0.0028,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.0,mean,935,0.2957,0.0,9843.0,0.7087,0.0,0.8898,0.0,0.8934,0.0,0.8862,0.0,0.8898,0.0,0.9527,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.5,max_of_concat_layers,954,0.3521,0.0415,9907.0,0.7759,0.0608,0.8517,0.015,0.8411,0.0128,0.8747,0.026,0.8575,0.0178,0.9238,0.0208,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.5,mean,989,0.3485,0.0,9843.0,0.6974,0.0,0.8653,0.0,0.8462,0.0,0.8943,0.0,0.8696,0.0,0.9326,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.0,max_of_concat_layers,963,0.0681,0.0,9907.0,0.9126,0.0,0.9755,0.0,0.9535,0.0,1.0,0.0,0.9762,0.0,0.998,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.0,mean,994,0.1676,0.0088,9843.0,0.987,0.0241,0.9368,0.002,0.9374,0.0126,0.9402,0.0134,0.9386,0.0003,0.9864,0.0008,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.5,max_of_concat_layers,596,0.2929,0.0,9907.0,0.7188,0.0,0.8857,0.0,0.904,0.0,0.876,0.0,0.8898,0.0,0.9496,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.5,mean,845,0.3354,0.0239,9843.0,0.6689,0.0228,0.853,0.005,0.8516,0.024,0.863,0.0291,0.8564,0.0026,0.9328,0.0102,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,1.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,max_of_concat_layers,879,0.1674,0.0,5237.0,0.8991,0.0,0.9469,0.0,0.9237,0.0,0.9758,0.0,0.949,0.0,0.9878,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,mean,901,0.3311,0.0453,5173.0,0.7121,0.0355,0.8612,0.0218,0.8508,0.0236,0.8901,0.0162,0.8699,0.018,0.9369,0.0225,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,max_of_concat_layers,984,0.4378,0.0049,5237.0,0.7869,0.0394,0.7918,0.0088,0.7715,0.0153,0.8458,0.0228,0.8066,0.0044,0.877,0.0014,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,mean,946,0.4606,0.0163,5173.0,0.6736,0.0168,0.8,0.0086,0.79,0.0083,0.8325,0.0429,0.8099,0.0177,0.8634,0.0126,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.0,max_of_concat_layers,878,0.0543,0.0,5237.0,0.7167,0.0,0.9796,0.0,0.9844,0.0,0.9767,0.0,0.9805,0.0,0.9985,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.0,mean,994,0.2979,0.047,5173.0,0.7817,0.0952,0.8653,0.0173,0.859,0.015,0.882,0.0251,0.8702,0.0177,0.9466,0.016,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.5,max_of_concat_layers,813,0.3577,0.0,5237.0,0.7333,0.0,0.8653,0.0,0.8478,0.0,0.907,0.0,0.8764,0.0,0.9255,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.5,mean,842,0.4718,0.0387,5173.0,1.1239,0.4713,0.781,0.0195,0.8097,0.0108,0.7462,0.0539,0.7757,0.0303,0.8556,0.0254,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.0,max_of_concat_layers,828,0.0964,0.0164,18613.0,0.8919,0.0679,0.9674,0.0123,0.9518,0.018,0.9884,0.0038,0.9696,0.0111,0.9957,0.0019,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.0,mean,874,0.2507,0.0562,18485.0,0.88,0.051,0.9051,0.0276,0.9082,0.0182,0.9029,0.0419,0.9054,0.0299,0.9677,0.0163,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.5,max_of_concat_layers,946,0.3793,0.0,18613.0,0.8909,0.0,0.8367,0.0,0.8074,0.0,0.8862,0.0,0.845,0.0,0.9122,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.001,False,relu,0.5,mean,928,0.404,0.0168,18485.0,0.8391,0.001,0.8266,0.0061,0.8288,0.0045,0.845,0.0077,0.8368,0.006,0.8998,0.0081,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.0,max_of_concat_layers,865,0.0827,0.0,18613.0,0.7429,0.0,0.9714,0.0,0.9677,0.0,0.9756,0.0,0.9717,0.0,0.9971,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.0,mean,987,0.2288,0.0358,18485.0,0.713,0.0935,0.9034,0.024,0.8836,0.0229,0.9351,0.0197,0.9086,0.0213,0.9702,0.0126,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.5,max_of_concat_layers,898,0.3199,0.0063,18613.0,0.656,0.0116,0.8572,0.004,0.8552,0.023,0.8718,0.0507,0.8618,0.0131,0.9382,0.0082,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,64,,32,0.01,False,relu,0.5,mean,957,0.4338,0.0306,18485.0,0.7518,0.0392,0.8057,0.0283,0.804,0.0302,0.8263,0.0304,0.8149,0.0288,0.8773,0.0211,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,2.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,max_of_concat_layers,981,0.1305,0.0324,7543.0,0.8324,0.0848,0.953,0.0093,0.9304,0.0072,0.9817,0.0185,0.9553,0.0101,0.9919,0.004,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=3-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,3.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.0,mean,928,0.2759,0.0693,7447.0,0.9401,0.1425,0.8884,0.0241,0.8848,0.0182,0.9036,0.0372,0.8937,0.022,0.9556,0.0215,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=3-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,True,1.0,3.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,max_of_concat_layers,989,0.438,0.0,7543.0,0.8561,0.0,0.7918,0.0,0.7786,0.0,0.8226,0.0,0.8,0.0,0.876,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=3-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,True,1.0,3.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.001,False,relu,0.5,mean,948,0.4624,0.0,7447.0,0.7082,0.0,0.8041,0.0,0.7718,0.0,0.8915,0.0,0.8273,0.0,0.8762,0.0,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=3-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,True,1.0,3.0
dilated_gnn,BZR_MD,edge_sageconv,32,,32,0.01,False,relu,0.0,max_of_concat_layers,820,0.1268,0.0137,7543.0,0.7171,0.0894,0.9527,0.0084,0.9553,0.0111,0.9518,0.0229,0.9533,0.0098,0.992,0.0021,tu_base-type=dilated_gnn-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=3-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,True,1.0,3.0
