d,type,dataset,layer,h,layers_mp,batch_size,lr,batchnorm,act,dropout,gpool,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id,edges,k1,k2
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,168.1,252.6711,0.2889,0.1837,7875.0,0.6633,0.0208,0.8834,0.0917,0.9161,0.0504,0.7854,0.2047,0.8325,0.1534,0.9404,0.0616,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.0,mean,val_best,193.6,191.6101,0.3534,0.1846,7843.0,0.5001,0.014,0.8411,0.1009,0.8581,0.0814,0.7224,0.2162,0.7709,0.1762,0.891,0.0945,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,158.1,132.3574,0.367,0.0541,7875.0,0.5005,0.0142,0.844,0.0276,0.8375,0.0277,0.7727,0.047,0.8036,0.0377,0.9122,0.0275,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.5,mean,val_best,217.0,269.2296,0.4567,0.096,7843.0,0.5929,0.0206,0.7917,0.0537,0.802,0.0469,0.6531,0.1157,0.717,0.0886,0.8512,0.0636,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,38.6,46.8449,0.1814,0.1396,7875.0,0.5577,0.0539,0.9281,0.0631,0.923,0.0662,0.8988,0.0916,0.9104,0.0791,0.9698,0.0305,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.0,mean,val_best,138.2,116.1316,0.2959,0.1827,7843.0,0.8463,0.0506,0.8724,0.0935,0.8716,0.0933,0.8005,0.1564,0.8326,0.1286,0.917,0.0769,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.5,max_of_concat_layers,val_best,94.5,117.3109,0.3735,0.1003,7875.0,0.6372,0.0267,0.8355,0.0554,0.8319,0.0516,0.7509,0.1038,0.7878,0.081,0.9011,0.0595,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.5,mean,val_best,204.2,233.0295,0.4151,0.1073,7843.0,0.5266,0.0131,0.8094,0.0568,0.8038,0.0658,0.7094,0.0958,0.7527,0.0819,0.8716,0.0689,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,64,,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,30.4,31.1808,0.3496,0.1874,19843.0,0.5353,0.0259,0.8448,0.1134,0.9128,0.0511,0.6873,0.2707,0.7501,0.2308,0.9189,0.0712,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,64,,32,0.001,False,relu,0.0,mean,val_best,102.1,81.434,0.3644,0.1591,19779.0,0.5401,0.018,0.8452,0.0827,0.8492,0.0822,0.7531,0.1394,0.7961,0.1134,0.8942,0.0738,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
