d,type,dataset,layer,h,layers_mp,batch_size,lr,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id,edges,k1,k2
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.0,max_of_concat_layers,234,0.004,0.0029,7875.0,0.6504,0.0173,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.0,mean,898,0.0187,0.0,7843.0,0.4953,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.5,max_of_concat_layers,994,0.2086,0.0,7875.0,0.4832,0.0,0.929,0.0,0.9221,0.0,0.9056,0.0,0.9138,0.0,0.974,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.001,False,relu,0.5,mean,984,0.241,0.0,7843.0,0.5803,0.0,0.9205,0.0,0.9225,0.0,0.8824,0.0,0.902,0.0,0.9642,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.0,max_of_concat_layers,90,0.0012,0.0007,7875.0,0.5248,0.0164,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.0,mean,447,0.0104,0.0043,7843.0,0.8099,0.0559,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.5,max_of_concat_layers,811,0.1672,0.0,7875.0,0.6419,0.0,0.9385,0.0,0.944,0.0,0.9054,0.0,0.9243,0.0,0.9828,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,32,,32,0.01,False,relu,0.5,mean,938,0.1958,0.0,7843.0,0.5443,0.0,0.9343,0.0,0.9342,0.0,0.9056,0.0,0.9197,0.0,0.976,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,64,,32,0.001,False,relu,0.0,max_of_concat_layers,133,0.0058,0.0031,19843.0,0.5153,0.031,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,64,,32,0.001,False,relu,0.0,mean,567,0.0111,0.0069,19779.0,0.521,0.0191,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,False,1.0,1.0
cuda,dilated_gnn,DD,sageconv,64,,32,0.001,False,relu,0.5,max_of_concat_layers,878,0.0784,0.0118,19843.0,0.6754,0.0029,0.9788,0.0064,0.9844,0.0004,0.9644,0.0154,0.9742,0.0081,0.9972,0.0012,tu_base-d=cuda-type=dilated_gnn-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,False,1.0,1.0
