type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,batchnorm,act,dropout,gpool,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,model_id,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,174.6,174.5871,0.493,0.1377,2931.0,0.6493,0.0322,0.7526,0.0979,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.748,0.0971,0.8174,0.1065,0.7741,0.0748,0.8298,0.1052
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.001,False,relu,0.0,mean,val_best,120.0,156.0173,0.5853,0.0774,2899.0,0.6385,0.0676,0.6825,0.0708,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.6986,0.0851,0.7159,0.1888,0.6836,0.1281,0.761,0.0796
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,240.9,204.6013,0.5637,0.0789,2931.0,0.65,0.0527,0.7053,0.0627,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7064,0.0784,0.7572,0.0445,0.7268,0.0393,0.7821,0.0728
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.001,False,relu,0.5,mean,val_best,125.7,93.8648,0.578,0.0478,2899.0,0.6334,0.0327,0.6902,0.04,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.6969,0.0676,0.7307,0.0728,0.707,0.0262,0.7732,0.0441
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,162.2,115.0911,0.3688,0.1303,2931.0,0.6303,0.0248,0.8318,0.0759,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.8263,0.065,0.8486,0.0969,0.8365,0.0779,0.9016,0.0737
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.01,False,relu,0.0,mean,val_best,293.6,239.3128,0.4481,0.1212,2899.0,0.6699,0.0628,0.771,0.0806,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.7796,0.0607,0.7749,0.1697,0.7653,0.1188,0.864,0.0746
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.01,False,relu,0.5,max_of_concat_layers,val_best,181.5,145.3886,0.5294,0.078,2931.0,0.7721,0.0435,0.7167,0.0654,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7123,0.064,0.7603,0.1027,0.7311,0.0681,0.8039,0.0721
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,32,32,0.01,False,relu,0.5,mean,val_best,330.2,204.6406,0.5078,0.0684,2899.0,0.7319,0.0953,0.7347,0.0365,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.7442,0.0346,0.7347,0.0912,0.7363,0.053,0.8234,0.0571
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,274.9,267.4313,0.4333,0.1575,9907.0,0.6833,0.0626,0.7804,0.0977,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.7856,0.0858,0.7761,0.1489,0.7776,0.1148,0.8587,0.1046
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.001,False,relu,0.0,mean,val_best,204.2,156.1472,0.5365,0.0657,9843.0,0.8151,0.1447,0.7359,0.0387,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.7635,0.0548,0.7111,0.0877,0.7318,0.0497,0.8157,0.0427
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,246.6,285.8441,0.5428,0.1008,9907.0,0.6952,0.0562,0.7314,0.0577,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7342,0.0694,0.7632,0.0525,0.7456,0.044,0.8094,0.0629
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.001,False,relu,0.5,mean,val_best,260.7,190.4652,0.541,0.0729,9843.0,0.6611,0.0551,0.7257,0.0478,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.7454,0.0526,0.7152,0.1022,0.7244,0.0638,0.8061,0.0551
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,191.8,276.1383,0.3919,0.1611,9907.0,0.6857,0.0746,0.8024,0.1147,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.8088,0.1164,0.7965,0.1395,0.8015,0.1256,0.8712,0.1226
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.01,False,relu,0.0,mean,val_best,313.8,203.2013,0.4032,0.0671,9843.0,0.8538,0.0891,0.8098,0.0363,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.8157,0.047,0.8175,0.062,0.8145,0.0362,0.8964,0.0382
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.01,False,relu,0.5,max_of_concat_layers,val_best,52.3,39.7519,0.5415,0.0664,9907.0,0.7364,0.0899,0.7192,0.0466,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7276,0.0605,0.7349,0.0399,0.729,0.0358,0.8013,0.0576
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,1,64,32,0.01,False,relu,0.5,mean,val_best,429.9,297.8998,0.4465,0.0743,9843.0,0.8362,0.1334,0.7796,0.0495,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.7713,0.0622,0.8215,0.0617,0.7928,0.0426,0.8669,0.0444
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,156.4,132.8256,0.5074,0.0913,5237.0,0.7896,0.0951,0.7359,0.0562,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.7589,0.0643,0.7104,0.0776,0.7324,0.0654,0.8218,0.0731
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.001,False,relu,0.0,mean,val_best,338.4,257.2777,0.5218,0.0863,5173.0,0.6697,0.0321,0.7367,0.0484,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.7385,0.0646,0.7639,0.0726,0.7477,0.0473,0.8186,0.057
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,278.9,273.632,0.5729,0.0821,5237.0,0.913,0.1443,0.6886,0.0706,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.6864,0.0821,0.7814,0.0953,0.7218,0.0363,0.7837,0.0665
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.001,False,relu,0.5,mean,val_best,321.7,225.7428,0.558,0.0575,5173.0,0.7789,0.0867,0.7098,0.0433,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.7245,0.0623,0.7303,0.1207,0.717,0.0552,0.7905,0.0455
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,261.2,134.6461,0.3128,0.1308,5237.0,0.7348,0.076,0.8518,0.0709,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.849,0.0716,0.8622,0.0809,0.8548,0.0723,0.9285,0.0596
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.01,False,relu,0.0,mean,val_best,489.3,341.1498,0.4425,0.1143,5173.0,0.7568,0.0707,0.7706,0.0791,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.7825,0.0552,0.764,0.1767,0.7599,0.133,0.862,0.0787
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.01,False,relu,0.5,max_of_concat_layers,val_best,114.6,118.2846,0.5404,0.0698,5237.0,0.7051,0.081,0.7163,0.0636,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7208,0.063,0.7354,0.0634,0.7268,0.0552,0.7911,0.0839
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,32,32,0.01,False,relu,0.5,mean,val_best,216.7,278.3785,0.5861,0.0729,5173.0,0.672,0.0542,0.6669,0.0781,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.6656,0.0831,0.7582,0.0962,0.7011,0.0504,0.7368,0.0916
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,64,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,193.0,161.8802,0.4304,0.1434,18613.0,0.7751,0.1072,0.793,0.0829,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.815,0.0677,0.7717,0.1543,0.7841,0.1116,0.8716,0.0848
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,64,32,0.001,False,relu,0.0,mean,val_best,354.9,160.9419,0.4591,0.0779,18485.0,0.7919,0.1267,0.7698,0.054,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean,0.7717,0.0732,0.7973,0.0381,0.7819,0.0408,0.8604,0.0504
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,64,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,191.8,167.8415,0.5556,0.0903,18613.0,1.1326,0.1019,0.7143,0.0742,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers,0.7097,0.0767,0.7888,0.1132,0.739,0.0563,0.7878,0.0745
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,64,32,0.001,False,relu,0.5,mean,val_best,302.8,250.1503,0.5523,0.0808,18485.0,0.9856,0.0939,0.7082,0.0678,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean,0.7159,0.0818,0.7567,0.0849,0.7281,0.0397,0.7938,0.065
dilapos_gnn,False,BZR_MD,edge_sageconv,True,1,2,64,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,163.5,178.7441,0.389,0.1339,18613.0,0.8903,0.202,0.8098,0.0736,tu_base-type=dilapos_gnn-pos=False-dataset=BZR_MD-layer=edge_sageconv-edges=True-k1=1-k2=2-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers,0.8338,0.0667,0.7846,0.0993,0.8068,0.0797,0.8905,0.0696
