d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,batchnorm,act,dropout,gpool,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,112.2,132.8893,0.2954,0.1997,7875.0,0.7465,0.0379,0.8772,0.0974,0.9125,0.057,0.7727,0.2117,0.8231,0.1593,0.9368,0.0612,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.0,mean,val_best,164.3,137.7244,0.3584,0.1782,7843.0,0.6404,0.0379,0.8482,0.1026,0.8734,0.0764,0.7235,0.2253,0.7768,0.183,0.8905,0.1011,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.5,max_of_concat_layers,val_best,188.7,149.2388,0.3676,0.0794,7875.0,0.6583,0.0381,0.842,0.0392,0.8394,0.0328,0.7627,0.0764,0.7983,0.0556,0.9095,0.0391,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.5,mean,val_best,177.3,168.0328,0.4726,0.0995,7843.0,0.7411,0.0439,0.786,0.0532,0.7954,0.0388,0.6433,0.1288,0.7065,0.0958,0.8367,0.0725,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.0,max_of_concat_layers,val_best,13.7,6.3883,0.2957,0.115,7875.0,0.6532,0.0226,0.8801,0.0611,0.8749,0.0615,0.8261,0.0953,0.8493,0.079,0.9387,0.0469,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.0,mean,val_best,100.3,97.5049,0.353,0.1778,7843.0,0.5504,0.0199,0.847,0.0922,0.8424,0.0948,0.7648,0.1527,0.7998,0.1269,0.8909,0.0867,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.5,max_of_concat_layers,val_best,124.1,134.9633,0.3515,0.1019,7875.0,0.6467,0.0359,0.846,0.0536,0.84,0.0538,0.7726,0.09,0.8041,0.0739,0.9116,0.0576,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.5,mean,val_best,190.8,196.6137,0.4158,0.0952,7843.0,0.6122,0.0287,0.8116,0.0525,0.8031,0.0571,0.7174,0.0935,0.7568,0.0765,0.8736,0.0634,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.0,max_of_concat_layers,val_best,90.6,190.931,0.3242,0.1977,19843.0,0.6314,0.0482,0.8554,0.1154,0.9163,0.0537,0.7125,0.2749,0.7669,0.2343,0.9252,0.0712,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.0,mean,val_best,141.1,147.9097,0.3474,0.1748,19779.0,0.5368,0.0272,0.8496,0.0841,0.8569,0.0775,0.756,0.1462,0.8009,0.1156,0.8995,0.0742,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean
