d,type,pos,dataset,layer,edges,k1,k2,h,batch_size,lr,batchnorm,act,dropout,gpool,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,model_id
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.0,max_of_concat_layers,228,0.0047,0.0041,7875.0,0.7011,0.0331,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.0,mean,866,0.0314,0.0091,7843.0,0.6442,0.0074,0.9979,0.0021,1.0,0.0,0.9948,0.0052,0.9974,0.0026,0.9996,0.0005,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.5,max_of_concat_layers,922,0.2071,0.0,7875.0,0.6054,0.0,0.9311,0.0,0.937,0.0,0.897,0.0,0.9166,0.0,0.9741,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.001,False,relu,0.5,mean,908,0.2516,0.0005,7843.0,0.7344,0.0441,0.9072,0.0005,0.9172,0.0028,0.8555,0.0038,0.8852,0.0008,0.961,0.0016,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.0,max_of_concat_layers,60,0.0038,0.0013,7875.0,0.6572,0.0319,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.0,mean,618,0.0052,0.0018,7843.0,0.4992,0.0129,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.5,max_of_concat_layers,843,0.1603,0.0,7875.0,0.6137,0.0,0.9427,0.0,0.9266,0.0,0.9361,0.0,0.9313,0.0,0.9845,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,32,32,0.01,False,relu,0.5,mean,892,0.2113,0.0,7843.0,0.6054,0.0,0.93,0.0,0.9276,0.0,0.9043,0.0,0.9158,0.0,0.9726,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=32-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.0,max_of_concat_layers,130,0.0057,0.0036,19843.0,0.6184,0.0173,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.0,mean,564,0.011,0.0047,19779.0,0.5377,0.0165,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.5,max_of_concat_layers,909,0.0746,0.0075,19843.0,0.6747,0.0123,0.9784,0.0028,0.9735,0.0028,0.9743,0.0038,0.9739,0.0029,0.9975,0.0009,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.001,False,relu,0.5,mean,919,0.1349,0.022,19779.0,0.5124,0.0027,0.956,0.0069,0.962,0.007,0.9315,0.0106,0.9465,0.0088,0.9895,0.0041,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.01,False,relu,0.0,max_of_concat_layers,35,0.0053,0.0024,19843.0,0.6723,0.0398,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.01,False,relu,0.0,mean,286,0.0072,0.0056,19779.0,0.7311,0.0651,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.01,False,relu,0.5,max_of_concat_layers,684,0.0505,0.0074,19843.0,0.4554,0.0078,0.9878,0.0037,0.987,0.0052,0.9832,0.004,0.9851,0.0046,0.9986,0.0005,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,1,64,32,0.01,False,relu,0.5,mean,973,0.084,0.0,19779.0,0.5949,0.0,0.9745,0.0,0.9819,0.0,0.9572,0.0,0.9694,0.0,0.9953,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=1-h=64-batch_size=32-lr=0.01-batchnorm=False-act=relu-dropout=0.5-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,2,32,32,0.001,False,relu,0.0,max_of_concat_layers,248,0.0051,0.0048,9989.0,0.6232,0.0125,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,2,32,32,0.001,False,relu,0.0,mean,331,0.0029,0.0019,9925.0,0.7947,0.0326,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.0-gpool=mean
cuda,dilapos_gnn,False,DD,sageconv,False,1,2,32,32,0.001,False,relu,0.5,max_of_concat_layers,959,0.2051,0.0019,9989.0,0.7288,0.0357,0.9194,0.0085,0.921,0.0075,0.8809,0.0142,0.9005,0.011,0.9748,0.0009,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=max_of_concat_layers
cuda,dilapos_gnn,False,DD,sageconv,False,1,2,32,32,0.001,False,relu,0.5,mean,845,0.1762,0.0153,9925.0,0.6236,0.0186,0.9367,0.009,0.9358,0.0122,0.9093,0.009,0.9224,0.0104,0.98,0.003,tu_base-d=cuda-type=dilapos_gnn-pos=False-dataset=DD-layer=sageconv-edges=False-k1=1-k2=2-h=32-batch_size=32-lr=0.001-batchnorm=False-act=relu-dropout=0.5-gpool=mean
